pca_lc_n_gpt,pca_lc_a_pt,pca_lc_n_orig,pca_lc_a_orig,mds_lc_n_gpt,mds_lc_a_gpt,mds_lc_n_orig,mds_lc_a_orig
12.598750008477104,12.598750008477104,10.0,10.0,10.534993545509506,12.348918074607932,10.534993545509506,12.348918074607932
53.98738754499291,11.414554119874326,236.6625059523184,9.061676424988734,56.667024843546855,9.401521531928694,156.28892395099567,8.455788007599882
32.31355197131919,8.951301193831599,225.8403211944637,10.08423953074406,26.995313901739813,8.446904936442431,276.2756786285536,8.870865977042488
29.3761345680658,10.875822759304612,1777.1368189377188,10.065609476281582,8.385448058541897,11.346423517749448,207.2515659469907,9.317786073017903
24.34557791077504,7.110620407010451,115.8481432425744,10.125241104637924,17.82563035100123,8.39759194163962,228.0726068295584,9.68424937317885
90.82097567031644,6.567711257581374,179.9256218328838,10.723075597552096,24.40638586131521,7.286625711647971,126.86531215603308,10.955650018063364
39.91068493785295,7.615507626138147,403.3736798049211,9.31472527916856,43.56472585929954,6.811965339848763,184.09565194677853,9.025004893394502
22.864396223516017,8.452262778583215,437.84679217191234,8.958753686740533,31.700955202970498,7.452336175464551,329.8968422147037,8.736534033749104
18.78084635445864,8.017046934794445,587.5912840951795,9.311166629124282,30.778573755906063,7.496759045243617,651.7765032773582,9.631909396877285
20.02775969119317,7.983249172727287,755.8389520461185,9.20060652543162,35.14957429608794,6.914233350322388,689.0565680658543,9.567744677931758
24.18501772729984,8.109405604381596,1851.5865875354727,9.097102326147388,35.24571047249679,7.363079424598346,179.4684650129638,10.011438169717797
33.80331630133432,7.887097516245425,1898.5667841310585,9.058122539960042,67.68331165504205,7.275326410538148,217.0369400622907,8.2643433978617
64.00207913318279,9.399808349872057,535.4387288492188,8.550167908453378,40.73328070576454,8.157366586871934,287.4563791253915,9.013272331578086
