BaselineGDV_orig_n,BaselineGDV_orig_a,gdv_n,gdv_a
,,0.0,0.0
-0.65902467178002,0.6116013781640625,-0.10098363794868115,0.05168574841672575
-0.6546323005839444,0.606407176039714,-0.11945510148769883,0.050372833472636415
-0.6729274823601837,0.6083996372566329,-0.1225202034267912,0.05468050206536651
-0.8256484182898579,0.6069039178132263,-0.1359000067246559,0.04844542322508145
-0.8573112899247551,0.606837503568015,-0.13390136800553878,0.05418841767392632
-0.8467641527323744,0.606484003526846,-0.13615054652925232,0.04794881496491018
-0.9176195435871664,0.6090461060068055,-0.1342820383377621,0.05085908489295891
-0.949280175872944,0.609006370332178,-0.135185974739696,0.04966216885213412
-0.9483912369879578,0.608668892203743,-0.14209735581210875,0.04761166833357461
-0.9186911723494394,0.6064479877477819,-0.14341777935547417,0.04385565504416661
-0.8995886308359007,0.604407041186007,-0.1381953676919838,0.048619647897094075
-0.8701729460699709,0.5979488285886901,-0.1391772353028364,0.04242134624703233
